Provider,Name,Longitude,Latitude,Elevation,HN_year_start,HN_year_end,HS_year_start,HS_year_end
AT_HZB,Franzensdorf,16.6433333333333,48.19,152,1970,2016,1970,2016
AT_HZB,Frastanz,9.63583333333333,47.2166666666667,487,1990,2016,1990,2016
AT_HZB,Frauenkirchen,16.9247222222222,47.8272222222222,122,2005,2016,2005,2016
AT_HZB,Frauental,15.2186111111111,46.8394444444445,350,1993,2016,1993,2016
AT_HZB,Frein_an_der_Murz,15.4883333333333,47.7427777777778,867,1978,2016,1978,2016
AT_HZB,Friedberg_Ortgraben,16.0491666666667,47.4369444444444,550,1970,2016,1970,2016
AT_HZB,Friedburg,13.2475,48.0172222222222,512,1993,2016,1993,2016
AT_HZB,Frohnleiten,15.3230555555556,47.2691666666667,420,1970,2016,1970,2016
AT_HZB,Furth_Harras,15.915,47.9813888888889,488,2006,2016,1970,2016
AT_HZB,Fuschl,13.3047222222222,47.7933333333333,670,1970,2016,1970,2016
AT_HZB,Fussach,9.665,47.4816666666667,400,1970,2016,1970,2016
AT_HZB,Gaberl,14.9513888888889,47.1108333333333,1160,1990,2016,1990,2016
AT_HZB,Gaisberg,14.4172222222222,46.9730555555556,930,1991,2016,1991,2016
AT_HZB,Gaissau,9.59861111111111,47.4677777777778,400,1970,2016,1970,2016
AT_HZB,Gallneukirchen,14.4091666666667,48.3552777777778,330,1970,2016,1970,2016
AT_HZB,Gars_am_Kamp,15.6675,48.5986111111111,270,1991,2016,1991,2016
AT_HZB,Gasen,15.5852777777778,47.3894444444445,950,2006,2016,2006,2016
AT_HZB,Gasselsdorf,14.6225,47.2047222222222,780,2000,2016,1999,2016
AT_HZB,Gattendorf,16.9819444444444,48.0158333333333,150,1980,2016,1980,2016
AT_HZB,Geboltskirchen,13.6327777777778,48.1572222222222,540,1981,2016,1981,2016
AT_HZB,Gedersberg,15.3891666666667,47.0105555555556,390,1990,2016,1990,2016
AT_HZB,Gedersdorf,15.6911111111111,48.4341666666667,196,2004,2016,2004,2016
AT_HZB,Geretsberg,12.9511111111111,48.0952777777778,505,1970,2016,1970,2016
AT_HZB,Gerlos,12.03,47.2244444444444,1263,1970,2016,1970,2016
AT_HZB,Gfohl,15.4922222222222,48.5177777777778,582,1991,2016,1991,2016
AT_HZB,Ginzling,11.7925,47.0913888888889,1060,1970,2016,1970,2016
AT_HZB,Glanegg,13.0175,47.7494444444444,450,1970,2016,1970,2016
AT_HZB,Glanz,15.5013888888889,46.6516666666667,476,1993,2016,1993,2016
AT_HZB,Glashutten_bei_Langeck,16.3844444444444,47.3755555555556,431,1985,2016,1985,2016
AT_HZB,Glasing,16.3652777777778,47.0477777777778,209,1992,2016,1992,2016
AT_HZB,Gloggnitz,15.9394444444444,47.6641666666667,509,1970,2016,1970,2016
AT_HZB,Gmund,14.9797222222222,48.7641666666667,498,1970,2016,1970,2016
AT_HZB,Gmunden_Traundorf,13.8069444444444,47.9366666666667,456,1981,2016,1981,2016
AT_HZB,Goldworth,14.0855555555556,48.3297222222222,260,1970,2016,1970,2016
AT_HZB,Golling_Torren,13.1575,47.5916666666667,473,1970,2016,1970,2016
AT_HZB,Gosau,13.5419444444444,47.5897222222222,765,1970,2016,1970,2016
AT_HZB,Gossl,13.8927777777778,47.6413888888889,710,1970,2016,1970,2016
AT_HZB,Gostling_an_der_Ybbs,14.9313888888889,47.8105555555556,530,1970,2016,1970,2016
AT_HZB,Grades_Klachl,14.2808333333333,46.975,725,1983,2016,1983,2016
AT_HZB,Grafenschlag,15.1397222222222,48.4869444444445,787,1970,2016,1970,2016
AT_HZB,Grafenworth,15.7552777777778,48.4075,190,1970,2016,1970,2016
AT_HZB,Gramais,10.5355555555556,47.2688888888889,1320,1970,2016,1970,2016
AT_HZB,Gratkorn,15.3238888888889,47.1466666666667,392,1970,2016,1970,2016
AT_HZB,Graz_Andritz,15.4158333333333,47.1097222222222,361,1970,2016,1970,2016
AT_HZB,Graz_Gries,15.4233333333333,47.0561111111111,350,2000,2016,2000,2016
AT_HZB,Greifenburg,13.1794444444444,46.7466666666667,610,1970,2016,1970,2016
AT_HZB,Grein,14.8644444444444,48.2313888888889,270,1970,2016,1970,2016
AT_HZB,Greith,14.0219444444444,47.5691666666667,945,1993,2016,1993,2016
AT_HZB,Gresten,15.0225,47.9922222222222,398,1980,2016,1980,2016
AT_HZB,Gries,11.0266666666667,47.07,1590,1998,2016,1998,2016
AT_HZB,Gries_im_Sellrain,11.1525,47.1886111111111,1227,1970,2016,1970,2016
AT_HZB,Grieskirchen_Moosham,13.8091666666667,48.2327777777778,352,1970,2016,1970,2016
AT_HZB,Gross_Gerungs,14.9608333333333,48.575,680,1972,2016,1971,2016
AT_HZB,Gross_St_Florian,15.3138888888889,46.8280555555556,320,2000,2016,2000,2016
AT_HZB,Grossarl,13.2,47.2383333333333,890,1970,2016,1970,2016
AT_HZB,Grossgmain,12.9191666666667,47.7280555555556,560,2012,2016,2012,2016
AT_HZB,Grossheinrichschlag,15.3844444444444,48.4197222222222,704,1970,2016,1970,2016
AT_HZB,Grosslobming,14.8052777777778,47.1811111111111,650,1987,2016,1987,2016
AT_HZB,Grosswilfersdorf,16.0033333333333,47.0747222222222,275,1976,2016,1976,2016
AT_HZB,Grubegg,13.9261111111111,47.5475,790,1970,2016,1970,2016
AT_HZB,Grubhof_St_Martin,12.6997222222222,47.5775,630,1970,2016,1970,2016
AT_HZB,Grunau_Almegg,13.9394444444444,47.8602777777778,540,1970,2016,1970,2016
AT_HZB,Gschnaidt,15.1655555555556,47.2022222222222,1128,1985,2016,1985,2016
AT_HZB,Gschnitz_Obertal,11.3325,47.0283333333333,1280,1992,2016,1992,2016
AT_HZB,Gschosswand,11.83,47.1758333333333,1790,1979,2016,1979,2016
AT_HZB,Guglwald,14.1705555555556,48.5883333333333,727,1970,2016,1970,2016
AT_HZB,Gutau,14.6091666666667,48.4244444444444,630,1970,2016,1970,2016
AT_HZB,Gutenstein,15.8944444444444,47.8775,478,1970,2016,1970,2016
AT_HZB,Gutle,9.77611111111111,47.3930555555556,530,1970,2016,1970,2016
AT_HZB,Guttaring,14.5302777777778,46.8955555555556,710,1997,2016,1997,2016
AT_HZB,Hagensdorf_Luising,16.4780555555556,47.0111111111111,199,1970,2016,1970,2016
AT_HZB,Haidbach,12.4858333333333,47.2541666666667,900,1971,2016,1971,2016
AT_HZB,Hainfeld,15.7841666666667,48.0330555555556,429,2006,2016,2006,2016
AT_HZB,Halbturn,16.9863888888889,47.8730555555556,130,1970,2016,1970,2016
AT_HZB,Hall_in_Tirol,11.4936111111111,47.2877777777778,585,2002,2016,2002,2016
AT_HZB,Hallein,13.0886111111111,47.6880555555556,443,2011,2016,2011,2016
AT_HZB,Hard_Rotachstrasse_,9.69944444444445,47.4822222222222,401,2003,2016,2003,2016
AT_HZB,Haringgraben,15.1108333333333,47.5491666666667,1020,1990,2016,1990,2016
AT_HZB,Hartberg,15.9733333333333,47.2838888888889,350,1970,2016,1970,2016
AT_HZB,Haslach,14.0402777777778,48.5863888888889,542,1970,2016,1970,2016
AT_HZB,Hebalpe,15.0108333333333,46.9288888888889,1310,1970,2016,1970,2016
AT_HZB,Heiligenblut,12.8519444444444,47.0366666666667,1380,1970,2016,1970,2016
AT_HZB,Heiligenkreuz,16.2533333333333,46.9888888888889,228,2005,2016,2005,2016
AT_HZB,Helfenberg,14.1477777777778,48.545,598,1971,2016,1971,2016
AT_HZB,Hellmonsodt,14.3041666666667,48.4330555555556,840,1970,2016,1970,2016
AT_HZB,Hinterhornbach,10.4547222222222,47.3591666666667,1100,1970,2016,1970,2016
AT_HZB,Hinterlug,14.7644444444444,47.9341666666667,416,2005,2016,2005,2016
AT_HZB,Hinterriss,11.4638888888889,47.4802777777778,920,1970,2016,1970,2016
AT_HZB,Hintersee_AT_HZB,13.2225,47.7611111111111,727,1970,2016,1970,2016
AT_HZB,Hinterstoder,14.1575,47.7005555555556,590,1970,2016,1970,2016
AT_HZB,Hirschegg,14.9244444444444,47.0169444444445,1158,1979,2016,1979,2016
AT_HZB,Hittisau,9.93944444444444,47.4683333333333,800,1970,2016,1970,2016
AT_HZB,Hochberg,12.3633333333333,46.8152777777778,1672,1970,2016,1970,2016
AT_HZB,Hocheck,13.3505555555556,48.0472222222222,595,1991,2016,1991,2016
AT_HZB,Hochegg,13.5663888888889,46.7333333333333,1030,1970,2016,1970,2016
AT_HZB,Hochfilzen,12.6216666666667,47.4702777777778,960,1970,2016,1970,2016
